distancia_inicio_m,distancia_fin_m,lat,lon,diametro,espesor,SMYS,tasa_corrosion_mm_ano
3153.74,3158.327,3.78102732,-71.47564728,460,6.35,42000,0.1
3158.327,3170.287,3.781023963,-71.47569057,460,6.35,42000,0.1
3170.287,3182.284,3.7810193,-71.47580368,460,6.35,42000,0.1
3182.284,3194.254,3.78101513,-71.47591716,460,6.35,42000,0.1
3194.254,3206.283,3.781010969,-71.47603038,460,6.35,42000,0.1
3206.283,3216.533,3.781006787,-71.47614416,460,6.35,42000,0.1
3216.533,3228.526,3.781010471,-71.47624092,460,6.35,42000,0.1
3228.526,3240.561,3.781050148,-71.47634703,460,6.35,42000,0.1
3240.561,3252.604,3.781102311,-71.47644829,460,6.35,42000,0.1
3252.604,3263.104,3.781157641,-71.47654794,460,6.35,42000,0.1
3263.104,3275.124,3.781206737,-71.47663436,460,6.35,42000,0.1
3275.124,3287.154,3.781262935,-71.47673328,460,6.35,42000,0.1
3287.154,3299.197,3.781319181,-71.47683229,460,6.35,42000,0.1
3299.197,3311.227,3.781375489,-71.47693141,460,6.35,42000,0.1
3311.227,3323.261,3.781431747,-71.47703041,460,6.35,42000,0.1
3323.261,3335.277,3.781488365,-71.47712925,460,6.35,42000,0.1
3335.277,3341.302,3.781545013,-71.47722787,460,6.35,42000,0.1
3341.302,3353.319,3.781573417,-71.47727732,460,6.35,42000,0.1
3353.319,3365.301,3.781630067,-71.47737596,460,6.35,42000,0.1
3365.301,3377.284,3.781686555,-71.4774743,460,6.35,42000,0.1
3377.284,3379.326,3.781743048,-71.47757266,460,6.35,42000,0.1
3379.326,3391.357,3.781752674,-71.47758942,460,6.35,42000,0.1
3391.357,3394.728,3.78180939,-71.47768817,460,6.35,42000,0.1
3394.728,3406.752,3.781825282,-71.47771584,460,6.35,42000,0.1
3406.752,3418.814,3.781881968,-71.47781453,460,6.35,42000,0.1
3418.814,3430.832,3.78193883,-71.47791353,460,6.35,42000,0.1
3430.832,3442.809,3.781995445,-71.4780122,460,6.35,42000,0.1
3442.809,3454.764,3.782051571,-71.4781107,460,6.35,42000,0.1
3454.764,3466.74,3.782107489,-71.47820908,460,6.35,42000,0.1
3466.74,3471.02,3.782163504,-71.47830763,460,6.35,42000,0.1
3471.02,3483.062,3.782183523,-71.47834285,460,6.35,42000,0.1
3483.062,3495.082,3.782239294,-71.47844225,460,6.35,42000,0.1
3495.082,3507.042,3.782294881,-71.47854153,460,6.35,42000,0.1
3507.042,3519.065,3.782350189,-71.4786403,460,6.35,42000,0.1
3519.065,3531.09,3.782405788,-71.4787396,460,6.35,42000,0.1
3531.09,3535.559,3.782461395,-71.47883891,460,6.35,42000,0.1
3535.559,3547.541,3.782482062,-71.47887582,460,6.35,42000,0.1
3547.541,3559.548,3.782538181,-71.47897438,460,6.35,42000,0.1
3559.548,3567.787,3.78259485,-71.47907289,460,6.35,42000,0.1
3567.787,3579.804,3.782633742,-71.47914049,460,6.35,42000,0.1
3579.804,3591.811,3.782690274,-71.47923919,460,6.35,42000,0.1
3591.811,3603.814,3.782746019,-71.47933823,460,6.35,42000,0.1
3603.814,3615.839,3.78280154,-71.47943735,460,6.35,42000,0.1
3615.839,3617.377,3.78285716,-71.47953666,460,6.35,42000,0.1
3617.377,3629.405,3.782864274,-71.47954936,460,6.35,42000,0.1
3629.405,3641.379,3.782919829,-71.47964874,460,6.35,42000,0.1
3641.379,3653.357,3.782976911,-71.47974664,460,6.35,42000,0.1
3653.357,3663.02,3.783044612,-71.47983746,460,6.35,42000,0.1
3663.02,3675.033,3.783100508,-71.47990986,460,6.35,42000,0.1
3675.033,3687.03,3.783169995,-71.47999986,460,6.35,42000,0.1
3687.03,3690.529,3.783239388,-71.48008975,460,6.35,42000,0.1
3690.529,3702.557,3.783259628,-71.48011597,460,6.35,42000,0.1
3702.557,3709.445,3.78332891,-71.48020631,460,6.35,42000,0.1
3709.445,3721.632,3.783367952,-71.48025852,460,6.35,42000,0.1
3721.632,3733.82,3.783436312,-71.48035144,460,6.35,42000,0.1
3733.82,3746.002,3.783504669,-71.48044437,460,6.35,42000,0.1
3746.002,3758.208,3.783572878,-71.48053734,460,6.35,42000,0.1
3758.208,3770.239,3.783638242,-71.48063253,460,6.35,42000,0.1
3770.239,3773.747,3.783688187,-71.4807345,460,6.35,42000,0.1
3773.747,3785.767,3.7836994,-71.48076575,460,6.35,42000,0.1
3785.767,3788.011,3.783711574,-71.48087812,460,6.35,42000,0.1
3788.011,3800.016,3.78370853,-71.48089914,460,6.35,42000,0.1
3800.016,3812.044,3.783691204,-71.48101143,460,6.35,42000,0.1
3812.044,3824.058,3.783670875,-71.48112345,460,6.35,42000,0.1
3824.058,3836.077,3.783648577,-71.48123496,460,6.35,42000,0.1
3836.077,3848.114,3.783626346,-71.48134653,460,6.35,42000,0.1
3848.114,3860.173,3.783604919,-71.48145843,460,6.35,42000,0.1
3860.173,3872.213,3.7835837,-71.48157058,460,6.35,42000,0.1
3872.213,3884.196,3.783562516,-71.48168256,460,6.35,42000,0.1
3884.196,3891.789,3.783541882,-71.48179409,460,6.35,42000,0.1
3891.789,3903.785,3.783529517,-71.48186489,460,6.35,42000,0.1
3903.785,3905.006,3.783510604,-71.48197685,460,6.35,42000,0.1
3905.006,3917.031,3.783508679,-71.48198825,460,6.35,42000,0.1
3917.031,3929.053,3.783489719,-71.48210048,460,6.35,42000,0.1
3929.053,3941.013,3.783470764,-71.48221268,460,6.35,42000,0.1
3941.013,3953.038,3.783451992,-71.48232432,460,6.35,42000,0.1
3953.038,3955.075,3.783433322,-71.4824366,460,6.35,42000,0.1
3955.075,3967.067,3.783430165,-71.48245562,460,6.35,42000,0.1
3967.067,3970.241,3.78341158,-71.4825676,460,6.35,42000,0.1
3970.241,3981.218,3.783406661,-71.48259724,460,6.35,42000,0.1
3981.218,3993.243,3.783389648,-71.48269974,460,6.35,42000,0.1
3993.243,4005.247,3.783371012,-71.48281202,460,6.35,42000,0.1
4005.247,4017.272,3.783352407,-71.48292411,460,6.35,42000,0.1
4017.272,4029.29,3.78333377,-71.4830364,460,6.35,42000,0.1
4029.29,4041.326,3.783315144,-71.48314862,460,6.35,42000,0.1
4041.326,4053.342,3.783296489,-71.48326101,460,6.35,42000,0.1
4053.342,4065.343,3.783277866,-71.48337321,460,6.35,42000,0.1
4065.343,4076.337,3.783259228,-71.48348526,460,6.35,42000,0.1
4076.337,4088.336,3.7832418,-71.48358785,460,6.35,42000,0.1
4088.336,4093.601,3.783222526,-71.48369978,460,6.35,42000,0.1
4093.601,4105.596,3.78321407,-71.4837489,460,6.35,42000,0.1
4105.596,4117.565,3.783200555,-71.48386152,460,6.35,42000,0.1
